,ts_year,model,te_true,te_hat,error
1318,1918,dml,15.301120313562786,13.7438805371275,-1.557239776435285
1319,1919,dml,15.625076223863513,12.783284263850454,-2.841791960013058
1320,1920,dml,15.228297875736136,13.598653299237508,-1.6296445764986291
1321,1921,dml,15.045709354901737,13.525387167530356,-1.5203221873713808
1322,1922,dml,16.384867951544095,13.904079206981462,-2.4807887445626324
1323,1923,dml,16.489221133346305,13.71791204507377,-2.771309088272534
1324,1924,dml,15.369766523185142,13.858290698772231,-1.5114758244129085
1325,1925,dml,16.957665125698426,14.569696920967834,-2.3879682047305923
1326,1926,dml,16.870102689217095,14.258549881310708,-2.6115528079063868
1327,1927,dml,16.12630477495969,14.682844193932295,-1.4434605810273933
1328,1928,dml,16.367104004308015,14.301228505968396,-2.0658754983396186
1329,1929,dml,17.13393481714545,14.905577326773452,-2.228357490372
1330,1930,dml,16.785428357806587,15.978100455799646,-0.807327902006941
1331,1931,dml,15.75936629891956,13.344245730872249,-2.415120568047312
1332,1932,dml,17.19849834917155,16.566654412343745,-0.6318439368278064
1333,1933,dml,17.277032655436628,14.295696366320694,-2.9813362891159336
1334,1934,dml,18.676756585704872,16.21075611876794,-2.466000466936933
1335,1935,dml,17.59431150881651,15.616784331521783,-1.977527177294725
1336,1936,dml,17.671465036634373,15.342888124404007,-2.328576912230366
1337,1937,dml,18.286166471207604,17.228104442270578,-1.0580620289370266
1338,1938,dml,18.34163633771416,16.542748029238627,-1.7988883084755294
1339,1939,dml,18.326834171729185,15.528181917416504,-2.7986522543126764
1340,1940,dml,18.6141431630387,17.098326462614722,-1.515816700423979
1341,1941,dml,18.673155448498008,16.70364709535585,-1.9695083531421569
1342,1942,dml,18.352466328383837,16.03440723418923,-2.318059094194602
1343,1943,dml,18.662939848984745,16.746519235364985,-1.9164206136197564
1344,1944,dml,19.733672344628943,17.123337223474962,-2.610335121153984
1345,1945,dml,20.157010187370595,18.071119864029605,-2.0858903233409904
1346,1946,dml,19.07300857827649,17.718701884356467,-1.3543066939200197
1347,1947,dml,20.543447403901904,16.808732327238385,-3.73471507666352
1348,1948,dml,20.34510774333458,16.588375017798214,-3.7567327255363674
1349,1949,dml,20.335956994043755,17.930892669150165,-2.4050643248935906
1350,1950,dml,22.24291106138246,19.120323601036656,-3.1225874603458053
1351,1951,dml,20.812431958751624,17.382786009165564,-3.4296459495860603
1352,1952,dml,20.91111291000116,18.4917611667821,-2.4193517432190568
1353,1953,dml,21.174474259200284,19.71642766011136,-1.4580465990889238
1354,1954,dml,20.62522406272212,18.654144447735845,-1.971079614986273
1355,1955,dml,22.08725923205042,20.68406881466585,-1.4031904173845715
1356,1956,dml,21.38243986762852,18.35160388765093,-3.030835979977585
1357,1957,dml,20.75235854242756,18.38160413819946,-2.370754404228101
1358,1958,dml,22.506348406376613,20.44463465023789,-2.0617137561387224
1359,1959,dml,23.31506845620899,22.117224265771256,-1.1978441904377348
1360,1960,dml,22.617661118132965,20.391187244860102,-2.226473873272859
1361,1961,dml,23.589088669832748,20.35049087019713,-3.238597799635613
1362,1962,dml,23.9587844803762,20.842933403713563,-3.11585107666264
1363,1963,dml,23.20893283765811,20.223435652730345,-2.985497184927766
1364,1964,dml,23.274448488581385,22.42785857123241,-0.8465899173489753
1365,1965,dml,25.612273069079738,23.686243367745966,-1.9260297013337715
1366,1966,dml,24.36298734756308,22.39420635280225,-1.9687809947608308
1367,1967,dml,26.374803831538006,24.679455073827437,-1.6953487577105726
1368,1968,dml,25.59350393521092,23.673985247956864,-1.9195186872540584
1369,1969,dml,24.68936110034101,23.21838475058492,-1.4709763497560893
1370,1970,dml,26.76026406097728,25.27948383069571,-1.480780230281571
1371,1971,dml,25.759301293886523,23.28754381244877,-2.4717574814377485
1372,1972,dml,26.67680385221268,26.467585279364688,-0.2092185728479911
1373,1973,dml,28.18545445277292,28.76113009809645,0.5756756453235319
1374,1974,dml,27.23681403508897,26.22369570741162,-1.0131183276773503
1375,1975,dml,29.23600786048172,26.46783904753844,-2.76816881294328
1376,1976,dml,28.482803259175927,26.60512453134899,-1.877678727826936
1377,1977,dml,28.93259326356809,28.468762852522488,-0.4638304110456062
1378,1978,dml,29.7340598971256,27.60722219957252,-2.126837697553075
