wbcode2,year,y,unrest,dem,logpop,pop14,pop1564,tradewb,nfagdp,democ,rever,l1,l2,l3,l4
147,2008,873.8055419921875,0,1,1745.6400700890406,15.3184524470801,71.3662876716852,83.528045654296875,-46.4,1,0,868.8197021484375,862.20037841796875,856.095703125,852.4986572265625
147,2009,875.3309326171875,0,1,1745.7078333160616,15.1213951813897,71.5236031479874,83.30690002441406,-65.3,1,0,873.8055419921875,868.8197021484375,862.20037841796875,856.095703125
147,2010,879.11431884765625,0,1,1745.422224194527,14.9601596197216,71.5486287093695,81.605621337890625,-67.4,1,0,875.3309326171875,873.8055419921875,868.8197021484375,862.20037841796875
149,1972,858.31317138671875,0,0,1597.0804888006046,28.060703046644502,61.8797989919618,47.24943542480469,-17.1,0,0,850.4482421875,843.60382080078125,830.83905029296875,827.84320068359375
149,1973,868.89886474609375,1,0,1597.1114210609394,27.8586178642409,61.9261271493898,46.714012145996094,-10.9,0,0,858.31317138671875,850.4482421875,843.60382080078125,830.83905029296875
149,1974,868.64031982421875,1,0,1598.5062991088796,27.6378134151098,61.9855561460262,48.26005554199219,-14.5,0,0,868.89886474609375,858.31317138671875,850.4482421875,843.60382080078125
149,1975,860.39495849609375,1,0,1602.3067131484,27.3482137141847,62.0974199956542,49.8607292175293,-18.2,0,0,868.64031982421875,868.89886474609375,858.31317138671875,850.4482421875
149,1976,864.2235107421875,1,1,1605.1508098656143,27.1585275159134,62.0996036095462,39.99488067626953,-18.9,1,0,860.39495849609375,868.64031982421875,868.89886474609375,858.31317138671875
149,1977,868.61297607421875,1,1,1606.2125648325011,26.8553453190691,62.195955224603,39.252784729003906,-23.9,1,0,864.2235107421875,860.39495849609375,868.64031982421875,868.89886474609375
149,1978,870.31109619140625,0,1,1607.2915213877777,26.477464693419,62.3618558078009,42.683982849121094,-26.6,1,0,868.61297607421875,864.2235107421875,860.39495849609375,868.64031982421875
149,1979,874.72479248046875,0,1,1608.3635149996137,26.0897436759473,62.5575552178898,47.45913314819336,-25.9,1,0,870.31109619140625,868.61297607421875,864.2235107421875,860.39495849609375
149,1980,878.13043212890625,0,1,1609.4449470666643,25.715660743765,62.7707986204896,51.98418426513672,-23.1,1,0,874.72479248046875,870.31109619140625,868.61297607421875,864.2235107421875
149,1981,878.86859130859375,0,1,1610.3120277700964,25.2741306476766,63.0573116146706,54.16009521484375,-39.5,1,0,878.13043212890625,874.72479248046875,870.31109619140625,868.61297607421875
149,1982,880.3701171875,1,1,1610.9233598715111,24.8720670943319,63.3465287247912,57.040000915527344,-50.3,1,0,878.86859130859375,878.13043212890625,874.72479248046875,870.31109619140625
149,1983,879.73291015625,0,1,1611.3873249153226,24.4861801429742,63.6345260773851,60.79462432861328,-57.7,1,0,880.3701171875,878.86859130859375,878.13043212890625,874.72479248046875
149,1984,877.450439453125,0,1,1611.7718779951365,24.0684163660269,63.9299649915666,64.77339935302734,-65.3,1,0,879.73291015625,880.3701171875,878.86859130859375,878.13043212890625
149,1985,879.9456787109375,0,1,1612.0454167470382,23.5855846310621,64.2428341827295,65.71289825439453,-61.7,1,0,877.450439453125,879.73291015625,880.3701171875,878.86859130859375
149,1986,883.91217041015625,0,1,1612.1363705047568,23.0738478309712,64.5095366337512,59.39126205444336,-41,1,0,879.9456787109375,877.450439453125,879.73291015625,880.3701171875
149,1987,890.12518310546875,0,1,1612.1094250661158,22.4907911536965,64.8105750000404,56.409271240234375,-30.7,1,0,883.91217041015625,879.9456787109375,877.450439453125,879.73291015625
